id,tweet_text,tweet_sentiment,likes,retweets,article_text,topic_predicted,patient_post,primary_emotion,google_search_index,month,youtube_comment,comment_sentiment,video_likes,video_views
1,Feeling scared about my screening results.,neutral,474,106,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,Research funding continues to support breakthroughs in oncology.,trust,78,Jan,Very informative explanation of mammograms.,positive,7982,22069
2,New treatment options bring hope to many women.,neutral,182,64,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,Survivor stories encourage thousands of women to undergo screening.,anticipation,38,Feb,I cried watching this. So moving.,negative,2763,127610
3,Research funding for breast cancer is essential.,negative,241,157,Mammograms and clinical breast exams are primary tools for early detection.,treatment discussions,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anticipation,82,Feb,Very informative explanation of mammograms.,neutral,6765,81042
4,Feeling scared about my screening results.,positive,159,83,Survivor stories encourage thousands of women to undergo screening.,hospital experience,"Hospital experiences vary, but timely care remains a critical factor.",joy,31,Dec,This video changed my perspective on breast cancer.,neutral,2007,41687
5,My mom is a breast cancer survivor. Stay strong everyone!,negative,122,127,Recent advancements in treatment have significantly improved recovery rates.,hospital experience,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,trust,57,Sep,This video changed my perspective on breast cancer.,negative,9589,159000
6,Feeling scared about my screening results.,positive,17,24,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,fear,45,Sep,Such a powerful survivor story!,negative,8303,98706
7,I just had a mammogram today. Hoping for the best.,positive,249,79,Research funding continues to support breakthroughs in oncology.,survivor stories,I just had a mammogram today. Hoping for the best.,anticipation,56,Feb,Very informative explanation of mammograms.,negative,8878,99176
8,Breast cancer awareness saves lives. Early detection matters!,positive,354,126,"Hospital experiences vary, but timely care remains a critical factor.",research & funding,Survivor stories encourage thousands of women to undergo screening.,anger,78,Jun,Thanks for spreading awareness.,positive,5943,107019
9,October is Breast Cancer Awareness Month. Spread positivity!,neutral,455,52,Mammograms and clinical breast exams are primary tools for early detection.,research & funding,My mom is a breast cancer survivor. Stay strong everyone!,anticipation,37,Aug,Thanks for spreading awareness.,neutral,4004,199384
10,Feeling scared about my screening results.,neutral,477,53,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,Research funding for breast cancer is essential.,anticipation,75,Apr,Important topic; more people should watch this.,negative,4865,36271
11,Breast cancer awareness saves lives. Early detection matters!,negative,160,52,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,October is Breast Cancer Awareness Month. Spread positivity!,sadness,63,May,I cried watching this. So moving.,neutral,9619,130916
12,My mom is a breast cancer survivor. Stay strong everyone!,neutral,6,36,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,Survivor stories encourage thousands of women to undergo screening.,trust,84,Apr,This video changed my perspective on breast cancer.,negative,1198,8134
13,October is Breast Cancer Awareness Month. Spread positivity!,negative,332,99,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,"Hospital experiences vary, but timely care remains a critical factor.",fear,59,Jun,Thanks for spreading awareness.,neutral,9006,143205
14,My mom is a breast cancer survivor. Stay strong everyone!,neutral,6,115,Survivor stories encourage thousands of women to undergo screening.,hospital experience,Recent advancements in treatment have significantly improved recovery rates.,anger,56,Feb,I cried watching this. So moving.,positive,3735,102106
15,New treatment options bring hope to many women.,positive,18,97,Research funding continues to support breakthroughs in oncology.,hospital experience,Survivor stories encourage thousands of women to undergo screening.,anticipation,27,Jan,Important topic; more people should watch this.,neutral,1970,102582
16,October is Breast Cancer Awareness Month. Spread positivity!,neutral,230,141,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Mammograms and clinical breast exams are primary tools for early detection.,anticipation,71,Jan,Very informative explanation of mammograms.,negative,9935,39063
17,My mom is a breast cancer survivor. Stay strong everyone!,neutral,40,123,Survivor stories encourage thousands of women to undergo screening.,survivor stories,Mammograms and clinical breast exams are primary tools for early detection.,anger,39,Apr,Thanks for spreading awareness.,positive,6651,36656
18,New treatment options bring hope to many women.,neutral,263,113,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,Research funding for breast cancer is essential.,joy,96,Feb,Such a powerful survivor story!,negative,9221,105366
19,My mom is a breast cancer survivor. Stay strong everyone!,negative,272,154,Research funding continues to support breakthroughs in oncology.,awareness campaign,Feeling scared about my screening results.,trust,75,Jul,Such a powerful survivor story!,positive,1641,32706
20,Feeling scared about my screening results.,neutral,70,160,Research funding continues to support breakthroughs in oncology.,survivor stories,Feeling scared about my screening results.,joy,27,Oct,I cried watching this. So moving.,neutral,4744,163501
21,I just had a mammogram today. Hoping for the best.,negative,425,82,Research funding continues to support breakthroughs in oncology.,survivor stories,October is Breast Cancer Awareness Month. Spread positivity!,anticipation,49,Jan,I cried watching this. So moving.,positive,1554,145379
22,October is Breast Cancer Awareness Month. Spread positivity!,negative,368,167,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,hospital experience,Survivor stories encourage thousands of women to undergo screening.,anticipation,28,Apr,Very informative explanation of mammograms.,positive,4638,104864
23,Breast cancer awareness saves lives. Early detection matters!,positive,193,139,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,"Hospital experiences vary, but timely care remains a critical factor.",trust,99,Dec,This video changed my perspective on breast cancer.,positive,5709,128348
24,October is Breast Cancer Awareness Month. Spread positivity!,neutral,414,150,Survivor stories encourage thousands of women to undergo screening.,survivor stories,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anticipation,76,Aug,This video changed my perspective on breast cancer.,negative,348,128081
25,New treatment options bring hope to many women.,positive,158,110,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,My mom is a breast cancer survivor. Stay strong everyone!,trust,37,Jul,Thanks for spreading awareness.,negative,9522,12253
26,New treatment options bring hope to many women.,positive,330,88,Mammograms and clinical breast exams are primary tools for early detection.,treatment discussions,Breast cancer awareness saves lives. Early detection matters!,joy,74,Mar,I cried watching this. So moving.,negative,3768,20668
27,My mom is a breast cancer survivor. Stay strong everyone!,positive,20,105,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,October is Breast Cancer Awareness Month. Spread positivity!,joy,91,Mar,Very informative explanation of mammograms.,positive,7078,26934
28,New treatment options bring hope to many women.,positive,296,57,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,hospital experience,Research funding for breast cancer is essential.,anticipation,88,Oct,I cried watching this. So moving.,neutral,6520,119458
29,October is Breast Cancer Awareness Month. Spread positivity!,neutral,495,113,Mammograms and clinical breast exams are primary tools for early detection.,awareness campaign,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,joy,85,Jul,This video changed my perspective on breast cancer.,negative,8718,38909
